Kennziffer;Raumeinheit;Aggregat;Apotheken
"07337";"Südliche Weinstraße";"Landkreis";"28,0"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"27,3"
"07339";"Mainz-Bingen";"Landkreis";"24,8"
"07340";"Südwestpfalz";"Landkreis";"29,3"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"25,0"
"08115";"Böblingen";"Landkreis";"23,1"
"08116";"Esslingen";"Landkreis";"23,7"
"08117";"Göppingen";"Landkreis";"28,9"
"08118";"Ludwigsburg";"Landkreis";"20,6"
"08119";"Rems-Murr-Kreis";"Landkreis";"23,1"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"32,0"
"08125";"Heilbronn";"Landkreis";"21,4"
"08126";"Hohenlohekreis";"Landkreis";"20,6"
"08127";"Schwäbisch Hall";"Landkreis";"19,6"
"08128";"Main-Tauber-Kreis";"Landkreis";"25,7"
"08135";"Heidenheim";"Landkreis";"24,2"
"08136";"Ostalbkreis";"Landkreis";"23,7"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"42,0"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"28,2"
"08215";"Karlsruhe";"Landkreis";"26,9"
"08216";"Rastatt";"Landkreis";"28,2"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"31,8"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"32,1"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"25,8"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"28,3"
"08231";"Pforzheim, Stadt";"Landkreis";"31,4"
"08235";"Calw";"Landkreis";"24,1"
"08236";"Enzkreis";"Landkreis";"23,7"
"08237";"Freudenstadt";"Landkreis";"26,4"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"31,4"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"27,1"
"08316";"Emmendingen";"Landkreis";"27,3"
"08317";"Ortenaukreis";"Landkreis";"25,6"
"08325";"Rottweil";"Landkreis";"24,5"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"26,0"
"08327";"Tuttlingen";"Landkreis";"21,5"
"08335";"Konstanz";"Landkreis";"24,6"
"08336";"Lörrach";"Landkreis";"25,4"
"08337";"Waldshut";"Landkreis";"26,4"
"08415";"Reutlingen";"Landkreis";"24,5"
"08416";"Tübingen";"Landkreis";"23,5"
"08417";"Zollernalbkreis";"Landkreis";"25,0"
"08421";"Ulm, Stadt";"krsfr. Stadt";"28,7"
"08425";"Alb-Donau-Kreis";"Landkreis";"23,6"
"08426";"Biberach";"Landkreis";"19,7"
"08435";"Bodenseekreis";"Landkreis";"28,4"
"08436";"Ravensburg";"Landkreis";"24,4"
"08437";"Sigmaringen";"Landkreis";"25,3"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"22,9"
"09162";"München, Stadt";"krsfr. Stadt";"28,1"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"33,3"
"09171";"Altötting";"Landkreis";"30,8"
"09172";"Berchtesgadener Land";"Landkreis";"31,4"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"26,1"
"09174";"Dachau";"Landkreis";"20,3"
"09175";"Ebersberg";"Landkreis";"24,1"
"09176";"Eichstätt";"Landkreis";"20,5"
"09177";"Erding";"Landkreis";"20,5"
"09178";"Freising";"Landkreis";"23,6"
"09179";"Fürstenfeldbruck";"Landkreis";"24,8"
"09180";"Garmisch-Partenkirchen";"Landkreis";"32,9"
"09181";"Landsberg am Lech";"Landkreis";"21,0"
"09182";"Miesbach";"Landkreis";"34,3"
"09183";"Mühldorf a.Inn";"Landkreis";"22,7"
"09184";"München";"Landkreis";"21,9"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"22,9"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"22,2"
"09187";"Rosenheim";"Landkreis";"22,4"
"09188";"Starnberg";"Landkreis";"30,2"
"09189";"Traunstein";"Landkreis";"26,7"
"09190";"Weilheim-Schongau";"Landkreis";"23,1"
"09261";"Landshut, Stadt";"krsfr. Stadt";"30,9"
"09262";"Passau, Stadt";"krsfr. Stadt";"38,6"
"09263";"Straubing, Stadt";"krsfr. Stadt";"39,9"
"09271";"Deggendorf";"Landkreis";"26,1"
"09272";"Freyung-Grafenau";"Landkreis";"26,8"
"09273";"Kelheim";"Landkreis";"21,5"
"09274";"Landshut";"Landkreis";"19,1"
"09275";"Passau";"Landkreis";"27,8"
"09276";"Regen";"Landkreis";"28,4"
"09277";"Rottal-Inn";"Landkreis";"26,6"
"09278";"Straubing-Bogen";"Landkreis";"23,0"
"09279";"Dingolfing-Landau";"Landkreis";"26,1"
"09361";"Amberg, Stadt";"krsfr. Stadt";"37,9"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"30,5"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"47,0"
"09371";"Amberg-Sulzbach";"Landkreis";"21,4"
"09372";"Cham";"Landkreis";"25,1"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"22,6"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"26,5"
"09375";"Regensburg";"Landkreis";"20,3"
"09376";"Schwandorf";"Landkreis";"26,6"
"09377";"Tirschenreuth";"Landkreis";"23,4"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"40,2"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"35,1"
"09463";"Coburg, Stadt";"krsfr. Stadt";"36,4"
"09464";"Hof, Stadt";"krsfr. Stadt";"41,3"
"09471";"Bamberg";"Landkreis";"25,2"
"09472";"Bayreuth";"Landkreis";"28,9"
"09473";"Coburg";"Landkreis";"25,3"
"09474";"Forchheim";"Landkreis";"27,7"
"09475";"Hof";"Landkreis";"29,2"
"09476";"Kronach";"Landkreis";"31,1"
"09477";"Kulmbach";"Landkreis";"34,7"
"09478";"Lichtenfels";"Landkreis";"28,5"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"31,3"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"38,4"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"35,1"
"09563";"Fürth, Stadt";"krsfr. Stadt";"24,5"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"28,0"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"34,3"
"09571";"Ansbach";"Landkreis";"26,2"
"09572";"Erlangen-Höchstadt";"Landkreis";"22,9"
"09573";"Fürth";"Landkreis";"21,5"
"09574";"Nürnberger Land";"Landkreis";"24,7"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"28,1"
"09576";"Roth";"Landkreis";"21,4"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"25,5"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"27,2"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"44,9"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"35,5"
"09671";"Aschaffenburg";"Landkreis";"23,0"
"09672";"Bad Kissingen";"Landkreis";"26,1"
"09673";"Rhön-Grabfeld";"Landkreis";"27,6"
"09674";"Haßberge";"Landkreis";"28,4"
"09675";"Kitzingen";"Landkreis";"28,8"
"09676";"Miltenberg";"Landkreis";"23,3"
"09677";"Main-Spessart";"Landkreis";"23,7"
"09678";"Schweinfurt";"Landkreis";"21,7"
"09679";"Würzburg";"Landkreis";"24,2"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"28,0"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"32,2"
