Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der männlichen Bevölkerung;Durchschnittsalter der weiblichen Bevölkerung
"06436";"Main-Taunus-Kreis";"Landkreis";"42,4";"44,8"
"06437";"Odenwaldkreis";"Landkreis";"44,3";"46,6"
"06438";"Offenbach";"Landkreis";"42,3";"44,8"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"43,8";"46,2"
"06440";"Wetteraukreis";"Landkreis";"42,7";"45,2"
"06531";"Gießen";"Landkreis";"41,2";"43,2"
"06532";"Lahn-Dill-Kreis";"Landkreis";"43,0";"45,7"
"06533";"Limburg-Weilburg";"Landkreis";"42,9";"45,4"
"06534";"Marburg-Biedenkopf";"Landkreis";"41,4";"43,5"
"06535";"Vogelsbergkreis";"Landkreis";"45,0";"47,5"
"06611";"Kassel, Stadt";"krsfr. Stadt";"40,4";"43,6"
"06631";"Fulda";"Landkreis";"42,3";"44,8"
"06632";"Hersfeld-Rotenburg";"Landkreis";"44,2";"46,9"
"06633";"Kassel";"Landkreis";"44,8";"47,4"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"44,0";"46,7"
"06635";"Waldeck-Frankenberg";"Landkreis";"43,8";"46,7"
"06636";"Werra-Meißner-Kreis";"Landkreis";"45,2";"48,0"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"41,8";"44,8"
"07131";"Ahrweiler";"Landkreis";"44,7";"47,3"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"43,4";"45,9"
"07133";"Bad Kreuznach";"Landkreis";"43,9";"46,4"
"07134";"Birkenfeld";"Landkreis";"44,8";"47,5"
"07135";"Cochem-Zell";"Landkreis";"44,8";"47,5"
"07137";"Mayen-Koblenz";"Landkreis";"43,5";"45,7"
"07138";"Neuwied";"Landkreis";"43,3";"45,8"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"43,9";"46,4"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"44,3";"46,6"
"07143";"Westerwaldkreis";"Landkreis";"43,0";"45,3"
"07211";"Trier, Stadt";"krsfr. Stadt";"39,7";"42,8"
"07231";"Bernkastel-Wittlich";"Landkreis";"44,1";"46,3"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"42,7";"45,1"
"07233";"Vulkaneifel";"Landkreis";"45,0";"47,0"
"07235";"Trier-Saarburg";"Landkreis";"43,0";"45,1"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"42,6";"45,9"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"40,7";"44,8"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"41,4";"43,1"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"40,7";"43,2"
"07315";"Mainz, Stadt";"krsfr. Stadt";"39,8";"41,9"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"44,1";"47,1"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"44,3";"48,0"
"07318";"Speyer, Stadt";"krsfr. Stadt";"42,8";"46,3"
"07319";"Worms, Stadt";"krsfr. Stadt";"41,5";"44,4"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"43,3";"46,4"
"07331";"Alzey-Worms";"Landkreis";"42,7";"44,7"
"07332";"Bad Dürkheim";"Landkreis";"45,0";"47,4"
"07333";"Donnersbergkreis";"Landkreis";"43,7";"45,8"
"07334";"Germersheim";"Landkreis";"42,3";"44,5"
"07335";"Kaiserslautern";"Landkreis";"43,1";"45,6"
"07336";"Kusel";"Landkreis";"45,0";"47,3"
"07337";"Südliche Weinstraße";"Landkreis";"44,4";"46,6"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"43,8";"46,1"
"07339";"Mainz-Bingen";"Landkreis";"42,9";"45,0"
"07340";"Südwestpfalz";"Landkreis";"46,0";"48,2"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"40,2";"42,5"
"08115";"Böblingen";"Landkreis";"41,6";"43,8"
"08116";"Esslingen";"Landkreis";"42,0";"44,5"
"08117";"Göppingen";"Landkreis";"42,6";"45,1"
"08118";"Ludwigsburg";"Landkreis";"41,6";"43,9"
"08119";"Rems-Murr-Kreis";"Landkreis";"42,4";"44,9"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"40,5";"43,7"
"08125";"Heilbronn";"Landkreis";"41,7";"43,9"
"08126";"Hohenlohekreis";"Landkreis";"41,7";"44,0"
"08127";"Schwäbisch Hall";"Landkreis";"41,5";"43,9"
"08128";"Main-Tauber-Kreis";"Landkreis";"43,3";"46,0"
"08135";"Heidenheim";"Landkreis";"42,6";"45,4"
"08136";"Ostalbkreis";"Landkreis";"42,1";"44,5"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"44,9";"48,7"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"39,9";"43,5"
"08215";"Karlsruhe";"Landkreis";"42,6";"45,3"
"08216";"Rastatt";"Landkreis";"43,1";"45,6"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"38,8";"40,7"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"40,5";"43,1"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"43,1";"45,7"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"42,7";"45,2"
"08231";"Pforzheim, Stadt";"Landkreis";"40,7";"44,0"
"08235";"Calw";"Landkreis";"42,3";"45,0"
"08236";"Enzkreis";"Landkreis";"42,7";"45,1"
"08237";"Freudenstadt";"Landkreis";"42,3";"44,9"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"39,0";"40,8"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"42,6";"45,1"
"08316";"Emmendingen";"Landkreis";"42,4";"45,0"
"08317";"Ortenaukreis";"Landkreis";"42,4";"44,8"
"08325";"Rottweil";"Landkreis";"42,4";"44,9"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"42,7";"45,5"
"08327";"Tuttlingen";"Landkreis";"41,2";"43,6"
"08335";"Konstanz";"Landkreis";"41,9";"44,4"
"08336";"Lörrach";"Landkreis";"42,2";"44,5"
"08337";"Waldshut";"Landkreis";"42,4";"44,7"
"08415";"Reutlingen";"Landkreis";"42,0";"44,6"
"08416";"Tübingen";"Landkreis";"40,0";"41,7"
