Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der männlichen Bevölkerung;Durchschnittsalter der weiblichen Bevölkerung
"08417";"Zollernalbkreis";"Landkreis";"43,1";"45,9"
"08421";"Ulm, Stadt";"krsfr. Stadt";"39,8";"42,6"
"08425";"Alb-Donau-Kreis";"Landkreis";"41,4";"43,7"
"08426";"Biberach";"Landkreis";"41,1";"43,1"
"08435";"Bodenseekreis";"Landkreis";"43,1";"45,5"
"08436";"Ravensburg";"Landkreis";"41,4";"43,8"
"08437";"Sigmaringen";"Landkreis";"42,0";"44,5"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"40,4";"43,2"
"09162";"München, Stadt";"krsfr. Stadt";"40,2";"42,3"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"40,9";"44,0"
"09171";"Altötting";"Landkreis";"42,8";"45,5"
"09172";"Berchtesgadener Land";"Landkreis";"43,2";"46,4"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"42,5";"45,0"
"09174";"Dachau";"Landkreis";"41,2";"43,2"
"09175";"Ebersberg";"Landkreis";"41,2";"43,2"
"09176";"Eichstätt";"Landkreis";"40,6";"42,4"
"09177";"Erding";"Landkreis";"40,8";"42,5"
"09178";"Freising";"Landkreis";"39,9";"41,6"
"09179";"Fürstenfeldbruck";"Landkreis";"42,3";"44,7"
"09180";"Garmisch-Partenkirchen";"Landkreis";"44,1";"47,3"
"09181";"Landsberg am Lech";"Landkreis";"42,0";"44,3"
"09182";"Miesbach";"Landkreis";"43,2";"46,0"
"09183";"Mühldorf a.Inn";"Landkreis";"41,9";"44,4"
"09184";"München";"Landkreis";"41,5";"44,0"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"41,5";"43,6"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"41,4";"43,2"
"09187";"Rosenheim";"Landkreis";"42,5";"45,0"
"09188";"Starnberg";"Landkreis";"43,2";"45,6"
"09189";"Traunstein";"Landkreis";"43,3";"45,8"
"09190";"Weilheim-Schongau";"Landkreis";"42,9";"45,0"
"09261";"Landshut, Stadt";"krsfr. Stadt";"41,6";"44,6"
"09262";"Passau, Stadt";"krsfr. Stadt";"41,7";"44,5"
"09263";"Straubing, Stadt";"krsfr. Stadt";"42,4";"45,9"
"09271";"Deggendorf";"Landkreis";"42,4";"44,9"
"09272";"Freyung-Grafenau";"Landkreis";"43,7";"46,0"
"09273";"Kelheim";"Landkreis";"41,3";"43,4"
"09274";"Landshut";"Landkreis";"41,6";"43,6"
"09275";"Passau";"Landkreis";"43,3";"45,9"
"09276";"Regen";"Landkreis";"43,3";"46,4"
"09277";"Rottal-Inn";"Landkreis";"42,8";"45,3"
"09278";"Straubing-Bogen";"Landkreis";"42,2";"44,4"
"09279";"Dingolfing-Landau";"Landkreis";"41,9";"44,2"
"09361";"Amberg, Stadt";"krsfr. Stadt";"43,1";"47,1"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"39,6";"42,2"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"43,2";"46,6"
"09371";"Amberg-Sulzbach";"Landkreis";"43,5";"45,7"
"09372";"Cham";"Landkreis";"43,2";"45,3"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"41,8";"44,1"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"43,3";"45,5"
"09375";"Regensburg";"Landkreis";"42,1";"44,1"
"09376";"Schwandorf";"Landkreis";"42,7";"45,2"
"09377";"Tirschenreuth";"Landkreis";"44,0";"46,7"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"40,6";"43,4"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"41,3";"44,9"
"09463";"Coburg, Stadt";"krsfr. Stadt";"43,3";"46,8"
"09464";"Hof, Stadt";"krsfr. Stadt";"42,9";"46,7"
"09471";"Bamberg";"Landkreis";"42,3";"44,2"
"09472";"Bayreuth";"Landkreis";"44,0";"46,3"
"09473";"Coburg";"Landkreis";"44,2";"46,8"
"09474";"Forchheim";"Landkreis";"42,8";"44,8"
"09475";"Hof";"Landkreis";"45,6";"48,5"
"09476";"Kronach";"Landkreis";"45,4";"48,0"
"09477";"Kulmbach";"Landkreis";"44,8";"47,8"
"09478";"Lichtenfels";"Landkreis";"44,0";"46,4"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"45,4";"48,9"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"42,1";"45,1"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"39,6";"42,4"
"09563";"Fürth, Stadt";"krsfr. Stadt";"40,9";"43,8"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"41,2";"44,1"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"42,7";"45,4"
"09571";"Ansbach";"Landkreis";"42,2";"44,6"
"09572";"Erlangen-Höchstadt";"Landkreis";"42,6";"44,5"
"09573";"Fürth";"Landkreis";"43,9";"46,2"
"09574";"Nürnberger Land";"Landkreis";"43,5";"46,0"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"42,8";"45,2"
"09576";"Roth";"Landkreis";"42,9";"45,0"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"43,0";"45,6"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"42,1";"45,1"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"42,4";"46,5"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"40,7";"43,6"
"09671";"Aschaffenburg";"Landkreis";"43,6";"45,5"
"09672";"Bad Kissingen";"Landkreis";"44,8";"47,2"
"09673";"Rhön-Grabfeld";"Landkreis";"43,7";"45,7"
"09674";"Haßberge";"Landkreis";"43,1";"45,2"
"09675";"Kitzingen";"Landkreis";"42,8";"45,0"
"09676";"Miltenberg";"Landkreis";"43,2";"45,3"
"09677";"Main-Spessart";"Landkreis";"44,3";"46,5"
"09678";"Schweinfurt";"Landkreis";"43,4";"45,6"
"09679";"Würzburg";"Landkreis";"43,1";"45,1"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"40,8";"43,7"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"42,9";"46,0"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"42,0";"45,1"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"42,4";"45,2"
"09771";"Aichach-Friedberg";"Landkreis";"42,1";"44,0"
"09772";"Augsburg";"Landkreis";"42,3";"44,6"
"09773";"Dillingen a.d.Donau";"Landkreis";"42,2";"44,6"
"09774";"Günzburg";"Landkreis";"41,9";"44,1"
"09775";"Neu-Ulm";"Landkreis";"42,0";"44,2"
"09776";"Lindau (Bodensee)";"Landkreis";"43,3";"45,9"
"09777";"Ostallgäu";"Landkreis";"42,6";"44,5"
"09778";"Unterallgäu";"Landkreis";"42,4";"44,7"
"09779";"Donau-Ries";"Landkreis";"41,9";"44,3"
"09780";"Oberallgäu";"Landkreis";"43,5";"45,8"
"10041";"Regionalverband Saarbrücken";"Landkreis";"43,3";"46,4"
"10042";"Merzig-Wadern";"Landkreis";"44,1";"46,9"
"10043";"Neunkirchen";"Landkreis";"44,9";"47,9"
"10044";"Saarlouis";"Landkreis";"44,5";"47,4"
"10045";"Saarpfalz-Kreis";"Landkreis";"45,1";"48,0"
"10046";"St. Wendel";"Landkreis";"45,7";"47,9"
"11000";"Berlin, Stadt";"krsfr. Stadt";"41,0";"43,4"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"45,8";"49,5"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"44,1";"48,0"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"45,0";"48,4"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"40,9";"43,5"
"12060";"Barnim";"Landkreis";"45,1";"47,6"
"12061";"Dahme-Spreewald";"Landkreis";"45,3";"47,7"
"12062";"Elbe-Elster";"Landkreis";"47,3";"50,8"
"12063";"Havelland";"Landkreis";"44,4";"46,7"
"12064";"Märkisch-Oderland";"Landkreis";"45,7";"48,2"
"12065";"Oberhavel";"Landkreis";"44,7";"47,0"
"12066";"Oberspreewald-Lausitz";"Landkreis";"47,0";"51,0"
"12067";"Oder-Spree";"Landkreis";"46,4";"49,2"
"12068";"Ostprignitz-Ruppin";"Landkreis";"46,1";"49,0"
"12069";"Potsdam-Mittelmark";"Landkreis";"44,6";"46,7"
"12070";"Prignitz";"Landkreis";"47,1";"50,8"
"12071";"Spree-Neiße";"Landkreis";"47,7";"50,7"
"12072";"Teltow-Fläming";"Landkreis";"44,3";"46,9"
"12073";"Uckermark";"Landkreis";"47,0";"50,2"
"13003";"Rostock, Stadt";"krsfr. Stadt";"42,8";"46,3"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"43,7";"47,7"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"45,8";"49,1"
"13072";"Landkreis Rostock";"Landkreis";"45,3";"47,8"
"13073";"Vorpommern-Rügen";"Landkreis";"46,1";"49,1"
"13074";"Nordwestmecklenburg";"Landkreis";"44,5";"47,5"
"13075";"Vorpommern-Greifswald";"Landkreis";"45,4";"48,2"
"13076";"Ludwigslust-Parchim";"Landkreis";"45,3";"48,1"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"44,3";"48,5"
"14521";"Erzgebirgskreis";"Landkreis";"46,6";"50,2"
"14522";"Mittelsachsen";"Landkreis";"46,1";"49,7"
"14523";"Vogtlandkreis";"Landkreis";"46,9";"51,0"
"14524";"Zwickau";"Landkreis";"46,6";"50,3"
"14612";"Dresden, Stadt";"krsfr. Stadt";"40,9";"44,2"
"14625";"Bautzen";"Landkreis";"46,1";"49,4"
"14626";"Görlitz";"Landkreis";"47,1";"50,5"
"14627";"Meißen";"Landkreis";"46,0";"49,3"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"45,7";"48,9"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"40,6";"43,4"
"14729";"Leipzig";"Landkreis";"45,9";"49,0"
"14730";"Nordsachsen";"Landkreis";"45,7";"49,0"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"47,7";"51,4"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"42,2";"45,8"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"42,5";"46,7"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"45,2";"48,4"
"15082";"Anhalt-Bitterfeld";"Landkreis";"46,8";"50,5"
"15083";"Börde";"Landkreis";"45,0";"47,9"
"15084";"Burgenlandkreis";"Landkreis";"46,5";"50,5"
"15085";"Harz";"Landkreis";"46,5";"50,3"
"15086";"Jerichower Land";"Landkreis";"46,2";"49,4"
"15087";"Mansfeld-Südharz";"Landkreis";"47,7";"51,2"
"15088";"Saalekreis";"Landkreis";"45,7";"48,8"
"15089";"Salzlandkreis";"Landkreis";"46,6";"50,3"
"15090";"Stendal";"Landkreis";"45,8";"49,0"
"15091";"Wittenberg";"Landkreis";"47,2";"50,9"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"42,5";"45,1"
"16052";"Gera, Stadt";"krsfr. Stadt";"46,3";"50,2"
"16053";"Jena, Stadt";"krsfr. Stadt";"40,5";"43,5"
"16054";"Suhl, Stadt";"krsfr. Stadt";"48,2";"52,1"
"16055";"Weimar, Stadt";"krsfr. Stadt";"42,2";"45,5"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"44,3";"48,7"
"16061";"Eichsfeld";"Landkreis";"44,2";"46,5"
"16062";"Nordhausen";"Landkreis";"45,3";"48,6"
"16063";"Wartburgkreis";"Landkreis";"45,7";"48,6"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"44,9";"48,1"
"16065";"Kyffhäuserkreis";"Landkreis";"46,3";"49,9"
"16066";"Schmalkalden-Meiningen";"Landkreis";"46,0";"49,4"
"16067";"Gotha";"Landkreis";"45,1";"48,2"
"16068";"Sömmerda";"Landkreis";"45,1";"48,2"
"16069";"Hildburghausen";"Landkreis";"45,4";"48,7"
"16070";"Ilm-Kreis";"Landkreis";"44,8";"48,7"
"16071";"Weimarer Land";"Landkreis";"45,0";"47,1"
"16072";"Sonneberg";"Landkreis";"46,7";"50,6"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"47,1";"50,9"
"16074";"Saale-Holzland-Kreis";"Landkreis";"45,9";"48,6"
"16075";"Saale-Orla-Kreis";"Landkreis";"46,1";"49,6"
"16076";"Greiz";"Landkreis";"47,6";"51,3"
"16077";"Altenburger Land";"Landkreis";"48,0";"51,3"
