Kennziffer;Raumeinheit;Aggregat;Abhängigenquote Junge;Abhängigenquote Alte
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"20,4";"30,3"
"09171";"Altötting";"Landkreis";"21,4";"33,5"
"09172";"Berchtesgadener Land";"Landkreis";"19,9";"37,0"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"22,0";"32,9"
"09174";"Dachau";"Landkreis";"21,8";"27,2"
"09175";"Ebersberg";"Landkreis";"23,5";"28,4"
"09176";"Eichstätt";"Landkreis";"22,7";"25,9"
"09177";"Erding";"Landkreis";"21,7";"24,4"
"09178";"Freising";"Landkreis";"20,9";"22,5"
"09179";"Fürstenfeldbruck";"Landkreis";"22,9";"33,7"
"09180";"Garmisch-Partenkirchen";"Landkreis";"19,9";"39,9"
"09181";"Landsberg am Lech";"Landkreis";"21,7";"29,8"
"09182";"Miesbach";"Landkreis";"21,3";"35,4"
"09183";"Mühldorf a.Inn";"Landkreis";"21,1";"29,9"
"09184";"München";"Landkreis";"23,8";"31,8"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"21,9";"28,3"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"21,2";"26,4"
"09187";"Rosenheim";"Landkreis";"21,5";"32,4"
"09188";"Starnberg";"Landkreis";"23,7";"36,6"
"09189";"Traunstein";"Landkreis";"20,7";"35,2"
"09190";"Weilheim-Schongau";"Landkreis";"21,9";"33,2"
"09261";"Landshut, Stadt";"krsfr. Stadt";"19,3";"30,9"
"09262";"Passau, Stadt";"krsfr. Stadt";"15,5";"31,6"
"09263";"Straubing, Stadt";"krsfr. Stadt";"17,7";"31,7"
"09271";"Deggendorf";"Landkreis";"19,4";"29,9"
"09272";"Freyung-Grafenau";"Landkreis";"18,3";"31,9"
"09273";"Kelheim";"Landkreis";"21,4";"27,3"
"09274";"Landshut";"Landkreis";"21,7";"27,5"
"09275";"Passau";"Landkreis";"19,6";"33,1"
"09276";"Regen";"Landkreis";"19,1";"33,6"
"09277";"Rottal-Inn";"Landkreis";"20,1";"32,2"
"09278";"Straubing-Bogen";"Landkreis";"20,8";"28,9"
"09279";"Dingolfing-Landau";"Landkreis";"19,6";"27,6"
"09361";"Amberg, Stadt";"krsfr. Stadt";"19,0";"36,1"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"17,2";"24,4"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"18,5";"35,6"
"09371";"Amberg-Sulzbach";"Landkreis";"18,9";"31,3"
"09372";"Cham";"Landkreis";"19,6";"31,5"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"20,4";"27,8"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"19,1";"31,1"
"09375";"Regensburg";"Landkreis";"21,2";"28,5"
"09376";"Schwandorf";"Landkreis";"19,5";"30,5"
"09377";"Tirschenreuth";"Landkreis";"18,9";"34,4"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"17,8";"28,0"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"15,5";"31,6"
"09463";"Coburg, Stadt";"krsfr. Stadt";"17,8";"36,1"
"09464";"Hof, Stadt";"krsfr. Stadt";"20,1";"37,8"
"09471";"Bamberg";"Landkreis";"20,5";"27,8"
