Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Wohnort mit akademischem Abschluss
"08118";"Ludwigsburg";"Landkreis";"19,3"
"08119";"Rems-Murr-Kreis";"Landkreis";"15,4"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"15,3"
"08125";"Heilbronn";"Landkreis";"12,4"
"08126";"Hohenlohekreis";"Landkreis";"9,7"
"08127";"Schwäbisch Hall";"Landkreis";"10,2"
"08128";"Main-Tauber-Kreis";"Landkreis";"9,6"
"08135";"Heidenheim";"Landkreis";"12,3"
"08136";"Ostalbkreis";"Landkreis";"13,2"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"17,1"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"30,0"
"08215";"Karlsruhe";"Landkreis";"14,7"
"08216";"Rastatt";"Landkreis";"10,6"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"42,9"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"22,7"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"8,8"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"18,5"
"08231";"Pforzheim, Stadt";"Landkreis";"11,8"
"08235";"Calw";"Landkreis";"10,4"
"08236";"Enzkreis";"Landkreis";"12,4"
"08237";"Freudenstadt";"Landkreis";"9,4"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"33,1"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"14,2"
"08316";"Emmendingen";"Landkreis";"11,7"
"08317";"Ortenaukreis";"Landkreis";"9,7"
"08325";"Rottweil";"Landkreis";"10,0"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"10,8"
"08327";"Tuttlingen";"Landkreis";"9,1"
"08335";"Konstanz";"Landkreis";"15,8"
"08336";"Lörrach";"Landkreis";"10,0"
"08337";"Waldshut";"Landkreis";"8,1"
"08415";"Reutlingen";"Landkreis";"15,2"
"08416";"Tübingen";"Landkreis";"26,5"
"08417";"Zollernalbkreis";"Landkreis";"9,4"
"08421";"Ulm, Stadt";"krsfr. Stadt";"26,6"
"08425";"Alb-Donau-Kreis";"Landkreis";"12,3"
"08426";"Biberach";"Landkreis";"12,3"
"08435";"Bodenseekreis";"Landkreis";"19,0"
"08436";"Ravensburg";"Landkreis";"14,5"
"08437";"Sigmaringen";"Landkreis";"8,9"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"23,5"
"09162";"München, Stadt";"krsfr. Stadt";"35,7"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"17,5"
"09171";"Altötting";"Landkreis";"9,7"
"09172";"Berchtesgadener Land";"Landkreis";"9,1"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"15,5"
"09174";"Dachau";"Landkreis";"15,8"
"09175";"Ebersberg";"Landkreis";"21,4"
"09176";"Eichstätt";"Landkreis";"14,5"
"09177";"Erding";"Landkreis";"12,8"
"09178";"Freising";"Landkreis";"18,3"
"09179";"Fürstenfeldbruck";"Landkreis";"20,2"
"09180";"Garmisch-Partenkirchen";"Landkreis";"12,0"
"09181";"Landsberg am Lech";"Landkreis";"16,9"
"09182";"Miesbach";"Landkreis";"16,9"
"09183";"Mühldorf a.Inn";"Landkreis";"9,1"
"09184";"München";"Landkreis";"28,0"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"9,4"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"12,6"
"09187";"Rosenheim";"Landkreis";"13,9"
"09188";"Starnberg";"Landkreis";"27,3"
"09189";"Traunstein";"Landkreis";"10,9"
"09190";"Weilheim-Schongau";"Landkreis";"12,4"
"09261";"Landshut, Stadt";"krsfr. Stadt";"18,1"
"09262";"Passau, Stadt";"krsfr. Stadt";"19,5"
"09263";"Straubing, Stadt";"krsfr. Stadt";"10,1"
"09271";"Deggendorf";"Landkreis";"9,0"
"09272";"Freyung-Grafenau";"Landkreis";"5,9"
"09273";"Kelheim";"Landkreis";"9,0"
"09274";"Landshut";"Landkreis";"9,6"
"09275";"Passau";"Landkreis";"6,9"
"09276";"Regen";"Landkreis";"6,3"
"09277";"Rottal-Inn";"Landkreis";"6,5"
"09278";"Straubing-Bogen";"Landkreis";"7,8"
"09279";"Dingolfing-Landau";"Landkreis";"6,3"
"09361";"Amberg, Stadt";"krsfr. Stadt";"11,0"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"28,9"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"11,1"
"09371";"Amberg-Sulzbach";"Landkreis";"7,6"
"09372";"Cham";"Landkreis";"6,4"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"9,0"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"6,7"
"09375";"Regensburg";"Landkreis";"12,6"
"09376";"Schwandorf";"Landkreis";"6,9"
"09377";"Tirschenreuth";"Landkreis";"6,5"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"24,8"
