Kennziffer;Raumeinheit;Aggregat;Kreistyp
"08118";"Ludwigsburg";"Landkreis";"2"
"08119";"Rems-Murr-Kreis";"Landkreis";"2"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"1"
"08125";"Heilbronn";"Landkreis";"2"
"08126";"Hohenlohekreis";"Landkreis";"3"
"08127";"Schwäbisch Hall";"Landkreis";"3"
"08128";"Main-Tauber-Kreis";"Landkreis";"4"
"08135";"Heidenheim";"Landkreis";"2"
"08136";"Ostalbkreis";"Landkreis";"2"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"2"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"1"
"08215";"Karlsruhe";"Landkreis";"2"
"08216";"Rastatt";"Landkreis";"2"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"1"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"1"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"3"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"2"
"08231";"Pforzheim, Stadt";"Landkreis";"1"
"08235";"Calw";"Landkreis";"2"
"08236";"Enzkreis";"Landkreis";"2"
"08237";"Freudenstadt";"Landkreis";"3"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"1"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"2"
"08316";"Emmendingen";"Landkreis";"2"
"08317";"Ortenaukreis";"Landkreis";"2"
"08325";"Rottweil";"Landkreis";"2"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"2"
"08327";"Tuttlingen";"Landkreis";"2"
"08335";"Konstanz";"Landkreis";"2"
"08336";"Lörrach";"Landkreis";"2"
"08337";"Waldshut";"Landkreis";"3"
"08415";"Reutlingen";"Landkreis";"2"
"08416";"Tübingen";"Landkreis";"2"
"08417";"Zollernalbkreis";"Landkreis";"2"
"08421";"Ulm, Stadt";"krsfr. Stadt";"1"
"08425";"Alb-Donau-Kreis";"Landkreis";"3"
"08426";"Biberach";"Landkreis";"3"
"08435";"Bodenseekreis";"Landkreis";"2"
"08436";"Ravensburg";"Landkreis";"2"
"08437";"Sigmaringen";"Landkreis";"3"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"1"
"09162";"München, Stadt";"krsfr. Stadt";"1"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"2"
"09171";"Altötting";"Landkreis";"2"
"09172";"Berchtesgadener Land";"Landkreis";"3"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"4"
"09174";"Dachau";"Landkreis";"2"
"09175";"Ebersberg";"Landkreis";"2"
"09176";"Eichstätt";"Landkreis";"3"
"09177";"Erding";"Landkreis";"3"
"09178";"Freising";"Landkreis";"2"
"09179";"Fürstenfeldbruck";"Landkreis";"2"
"09180";"Garmisch-Partenkirchen";"Landkreis";"4"
"09181";"Landsberg am Lech";"Landkreis";"3"
"09182";"Miesbach";"Landkreis";"3"
"09183";"Mühldorf a.Inn";"Landkreis";"4"
"09184";"München";"Landkreis";"2"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"3"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"3"
"09187";"Rosenheim";"Landkreis";"2"
"09188";"Starnberg";"Landkreis";"2"
"09189";"Traunstein";"Landkreis";"4"
"09190";"Weilheim-Schongau";"Landkreis";"3"
"09261";"Landshut, Stadt";"krsfr. Stadt";"3"
"09262";"Passau, Stadt";"krsfr. Stadt";"3"
"09263";"Straubing, Stadt";"krsfr. Stadt";"4"
"09271";"Deggendorf";"Landkreis";"4"
"09272";"Freyung-Grafenau";"Landkreis";"4"
"09273";"Kelheim";"Landkreis";"3"
"09274";"Landshut";"Landkreis";"3"
"09275";"Passau";"Landkreis";"3"
"09276";"Regen";"Landkreis";"4"
"09277";"Rottal-Inn";"Landkreis";"4"
"09278";"Straubing-Bogen";"Landkreis";"4"
"09279";"Dingolfing-Landau";"Landkreis";"3"
"09361";"Amberg, Stadt";"krsfr. Stadt";"4"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"1"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"4"
"09371";"Amberg-Sulzbach";"Landkreis";"4"
"09372";"Cham";"Landkreis";"4"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"4"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"4"
"09375";"Regensburg";"Landkreis";"3"
"09376";"Schwandorf";"Landkreis";"4"
"09377";"Tirschenreuth";"Landkreis";"4"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"3"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"4"
"09463";"Coburg, Stadt";"krsfr. Stadt";"3"
"09464";"Hof, Stadt";"krsfr. Stadt";"3"
"09471";"Bamberg";"Landkreis";"3"
"09472";"Bayreuth";"Landkreis";"4"
"09473";"Coburg";"Landkreis";"3"
"09474";"Forchheim";"Landkreis";"3"
"09475";"Hof";"Landkreis";"3"
"09476";"Kronach";"Landkreis";"3"
"09477";"Kulmbach";"Landkreis";"4"
"09478";"Lichtenfels";"Landkreis";"3"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"4"
