Kennziffer;Raumeinheit;Aggregat;Geschlechterproportion insgesamt
"09184";"München";"Landkreis";"1,01"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"0,99"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"0,96"
"09187";"Rosenheim";"Landkreis";"1,02"
"09188";"Starnberg";"Landkreis";"1,06"
"09189";"Traunstein";"Landkreis";"1,02"
"09190";"Weilheim-Schongau";"Landkreis";"1,01"
"09261";"Landshut, Stadt";"krsfr. Stadt";"1,06"
"09262";"Passau, Stadt";"krsfr. Stadt";"1,08"
"09263";"Straubing, Stadt";"krsfr. Stadt";"0,99"
"09271";"Deggendorf";"Landkreis";"1,01"
"09272";"Freyung-Grafenau";"Landkreis";"1,00"
"09273";"Kelheim";"Landkreis";"0,97"
"09274";"Landshut";"Landkreis";"0,97"
"09275";"Passau";"Landkreis";"1,01"
"09276";"Regen";"Landkreis";"1,00"
"09277";"Rottal-Inn";"Landkreis";"1,00"
"09278";"Straubing-Bogen";"Landkreis";"0,99"
"09279";"Dingolfing-Landau";"Landkreis";"0,94"
"09361";"Amberg, Stadt";"krsfr. Stadt";"1,03"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"1,06"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"1,07"
"09371";"Amberg-Sulzbach";"Landkreis";"1,00"
"09372";"Cham";"Landkreis";"0,99"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"0,98"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"1,01"
"09375";"Regensburg";"Landkreis";"0,99"
"09376";"Schwandorf";"Landkreis";"0,99"
"09377";"Tirschenreuth";"Landkreis";"1,01"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"1,08"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"1,05"
"09463";"Coburg, Stadt";"krsfr. Stadt";"1,06"
"09464";"Hof, Stadt";"krsfr. Stadt";"1,08"
"09471";"Bamberg";"Landkreis";"1,00"
"09472";"Bayreuth";"Landkreis";"1,02"
"09473";"Coburg";"Landkreis";"1,02"
"09474";"Forchheim";"Landkreis";"1,01"
"09475";"Hof";"Landkreis";"1,05"
"09476";"Kronach";"Landkreis";"1,03"
"09477";"Kulmbach";"Landkreis";"1,03"
"09478";"Lichtenfels";"Landkreis";"1,02"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"1,05"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"1,09"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"1,01"
"09563";"Fürth, Stadt";"krsfr. Stadt";"1,04"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"1,06"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"1,05"
"09571";"Ansbach";"Landkreis";"0,99"
"09572";"Erlangen-Höchstadt";"Landkreis";"1,01"
"09573";"Fürth";"Landkreis";"1,06"
"09574";"Nürnberger Land";"Landkreis";"1,03"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"1,00"
"09576";"Roth";"Landkreis";"1,01"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"1,01"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"1,06"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"1,04"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"1,09"
"09671";"Aschaffenburg";"Landkreis";"1,01"
"09672";"Bad Kissingen";"Landkreis";"1,03"
"09673";"Rhön-Grabfeld";"Landkreis";"1,01"
"09674";"Haßberge";"Landkreis";"0,99"
"09675";"Kitzingen";"Landkreis";"0,99"
"09676";"Miltenberg";"Landkreis";"1,01"
"09677";"Main-Spessart";"Landkreis";"1,01"
"09678";"Schweinfurt";"Landkreis";"1,00"
"09679";"Würzburg";"Landkreis";"1,01"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"1,04"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"1,03"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"1,02"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"1,02"
"09771";"Aichach-Friedberg";"Landkreis";"1,00"
"09772";"Augsburg";"Landkreis";"1,01"
"09773";"Dillingen a.d.Donau";"Landkreis";"1,00"
"09774";"Günzburg";"Landkreis";"0,98"
"09775";"Neu-Ulm";"Landkreis";"1,02"
"09776";"Lindau (Bodensee)";"Landkreis";"1,03"
"09777";"Ostallgäu";"Landkreis";"1,01"
"09778";"Unterallgäu";"Landkreis";"0,99"
"09779";"Donau-Ries";"Landkreis";"0,97"
"09780";"Oberallgäu";"Landkreis";"1,03"
"10041";"Regionalverband Saarbrücken";"Landkreis";"1,04"
"10042";"Merzig-Wadern";"Landkreis";"1,02"
"10043";"Neunkirchen";"Landkreis";"1,04"
"10044";"Saarlouis";"Landkreis";"1,04"
"10045";"Saarpfalz-Kreis";"Landkreis";"1,06"
"10046";"St. Wendel";"Landkreis";"1,02"
"11000";"Berlin, Stadt";"krsfr. Stadt";"1,03"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"1,02"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"1,03"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"1,07"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"1,07"
"12060";"Barnim";"Landkreis";"1,02"
"12061";"Dahme-Spreewald";"Landkreis";"1,02"
"12062";"Elbe-Elster";"Landkreis";"1,01"
"12063";"Havelland";"Landkreis";"1,02"
"12064";"Märkisch-Oderland";"Landkreis";"1,02"
"12065";"Oberhavel";"Landkreis";"1,03"
"12066";"Oberspreewald-Lausitz";"Landkreis";"1,03"
"12067";"Oder-Spree";"Landkreis";"1,04"
"12068";"Ostprignitz-Ruppin";"Landkreis";"1,01"
"12069";"Potsdam-Mittelmark";"Landkreis";"1,02"
"12070";"Prignitz";"Landkreis";"1,01"
"12071";"Spree-Neiße";"Landkreis";"1,03"
"12072";"Teltow-Fläming";"Landkreis";"1,01"
"12073";"Uckermark";"Landkreis";"1,04"
"13003";"Rostock, Stadt";"krsfr. Stadt";"1,03"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"1,08"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"1,04"
"13072";"Landkreis Rostock";"Landkreis";"1,01"
"13073";"Vorpommern-Rügen";"Landkreis";"1,03"
"13074";"Nordwestmecklenburg";"Landkreis";"1,01"
"13075";"Vorpommern-Greifswald";"Landkreis";"1,04"
"13076";"Ludwigslust-Parchim";"Landkreis";"1,00"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"1,03"
"14521";"Erzgebirgskreis";"Landkreis";"1,04"
"14522";"Mittelsachsen";"Landkreis";"1,01"
"14523";"Vogtlandkreis";"Landkreis";"1,05"
"14524";"Zwickau";"Landkreis";"1,05"
"14612";"Dresden, Stadt";"krsfr. Stadt";"1,01"
"14625";"Bautzen";"Landkreis";"1,03"
"14626";"Görlitz";"Landkreis";"1,04"
"14627";"Meißen";"Landkreis";"1,03"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"1,03"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"1,04"
"14729";"Leipzig";"Landkreis";"1,04"
"14730";"Nordsachsen";"Landkreis";"1,01"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"1,06"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"1,07"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"1,03"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"1,00"
"15082";"Anhalt-Bitterfeld";"Landkreis";"1,04"
"15083";"Börde";"Landkreis";"1,00"
"15084";"Burgenlandkreis";"Landkreis";"1,01"
"15085";"Harz";"Landkreis";"1,04"
"15086";"Jerichower Land";"Landkreis";"1,01"
"15087";"Mansfeld-Südharz";"Landkreis";"1,03"
"15088";"Saalekreis";"Landkreis";"1,02"
"15089";"Salzlandkreis";"Landkreis";"1,04"
"15090";"Stendal";"Landkreis";"1,02"
"15091";"Wittenberg";"Landkreis";"1,03"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"1,05"
