Kennziffer;Raumeinheit;Aggregat;Ärzte je  Einwohner
"09189";"Traunstein";"Landkreis";"16,3"
"09190";"Weilheim-Schongau";"Landkreis";"15,8"
"09261";"Landshut, Stadt";"krsfr. Stadt";"26,3"
"09262";"Passau, Stadt";"krsfr. Stadt";"28,8"
"09263";"Straubing, Stadt";"krsfr. Stadt";"26,7"
"09271";"Deggendorf";"Landkreis";"14,7"
"09272";"Freyung-Grafenau";"Landkreis";"11,6"
"09273";"Kelheim";"Landkreis";"11,4"
"09274";"Landshut";"Landkreis";"7,8"
"09275";"Passau";"Landkreis";"12,1"
"09276";"Regen";"Landkreis";"13,3"
"09277";"Rottal-Inn";"Landkreis";"12,4"
"09278";"Straubing-Bogen";"Landkreis";"8,8"
"09279";"Dingolfing-Landau";"Landkreis";"12,5"
"09361";"Amberg, Stadt";"krsfr. Stadt";"27,7"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"24,9"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"30,1"
"09371";"Amberg-Sulzbach";"Landkreis";"9,3"
"09372";"Cham";"Landkreis";"12,3"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"11,9"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"9,5"
"09375";"Regensburg";"Landkreis";"11,4"
"09376";"Schwandorf";"Landkreis";"12,9"
"09377";"Tirschenreuth";"Landkreis";"11,1"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"27,3"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"27,3"
"09463";"Coburg, Stadt";"krsfr. Stadt";"24,0"
"09464";"Hof, Stadt";"krsfr. Stadt";"23,5"
"09471";"Bamberg";"Landkreis";"8,4"
"09472";"Bayreuth";"Landkreis";"8,5"
"09473";"Coburg";"Landkreis";"7,9"
"09474";"Forchheim";"Landkreis";"12,7"
"09475";"Hof";"Landkreis";"10,9"
"09476";"Kronach";"Landkreis";"12,0"
"09477";"Kulmbach";"Landkreis";"14,9"
"09478";"Lichtenfels";"Landkreis";"12,0"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"13,3"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"27,6"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"21,3"
"09563";"Fürth, Stadt";"krsfr. Stadt";"17,9"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"19,1"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"17,4"
"09571";"Ansbach";"Landkreis";"9,4"
"09572";"Erlangen-Höchstadt";"Landkreis";"12,3"
"09573";"Fürth";"Landkreis";"12,6"
"09574";"Nürnberger Land";"Landkreis";"12,8"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"12,6"
"09576";"Roth";"Landkreis";"10,7"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"13,0"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"27,7"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"28,3"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"30,5"
"09671";"Aschaffenburg";"Landkreis";"8,8"
"09672";"Bad Kissingen";"Landkreis";"13,3"
"09673";"Rhön-Grabfeld";"Landkreis";"14,3"
"09674";"Haßberge";"Landkreis";"12,1"
"09675";"Kitzingen";"Landkreis";"12,7"
"09676";"Miltenberg";"Landkreis";"11,5"
"09677";"Main-Spessart";"Landkreis";"12,5"
"09678";"Schweinfurt";"Landkreis";"8,0"
"09679";"Würzburg";"Landkreis";"12,0"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"19,7"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"26,2"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"24,3"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"24,4"
"09771";"Aichach-Friedberg";"Landkreis";"11,7"
"09772";"Augsburg";"Landkreis";"11,9"
"09773";"Dillingen a.d.Donau";"Landkreis";"11,5"
"09774";"Günzburg";"Landkreis";"12,3"
"09775";"Neu-Ulm";"Landkreis";"13,4"
"09776";"Lindau (Bodensee)";"Landkreis";"15,0"
"09777";"Ostallgäu";"Landkreis";"11,0"
"09778";"Unterallgäu";"Landkreis";"9,4"
"09779";"Donau-Ries";"Landkreis";"11,8"
"09780";"Oberallgäu";"Landkreis";"11,7"
"10041";"Regionalverband Saarbrücken";"Landkreis";"18,3"
"10042";"Merzig-Wadern";"Landkreis";"12,4"
"10043";"Neunkirchen";"Landkreis";"14,0"
"10044";"Saarlouis";"Landkreis";"15,3"
"10045";"Saarpfalz-Kreis";"Landkreis";"15,7"
"10046";"St. Wendel";"Landkreis";"13,5"
"11000";"Berlin, Stadt";"krsfr. Stadt";"17,9"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"19,2"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"22,8"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"22,8"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"19,7"
"12060";"Barnim";"Landkreis";"12,2"
"12061";"Dahme-Spreewald";"Landkreis";"11,8"
"12062";"Elbe-Elster";"Landkreis";"12,9"
"12063";"Havelland";"Landkreis";"11,1"
"12064";"Märkisch-Oderland";"Landkreis";"12,8"
"12065";"Oberhavel";"Landkreis";"12,2"
"12066";"Oberspreewald-Lausitz";"Landkreis";"12,4"
"12067";"Oder-Spree";"Landkreis";"13,2"
"12068";"Ostprignitz-Ruppin";"Landkreis";"15,0"
"12069";"Potsdam-Mittelmark";"Landkreis";"10,5"
"12070";"Prignitz";"Landkreis";"13,3"
"12071";"Spree-Neiße";"Landkreis";"10,7"
"12072";"Teltow-Fläming";"Landkreis";"11,6"
"12073";"Uckermark";"Landkreis";"13,3"
"13003";"Rostock, Stadt";"krsfr. Stadt";"21,4"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"22,1"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"15,2"
"13072";"Landkreis Rostock";"Landkreis";"12,3"
"13073";"Vorpommern-Rügen";"Landkreis";"14,7"
"13074";"Nordwestmecklenburg";"Landkreis";"12,9"
"13075";"Vorpommern-Greifswald";"Landkreis";"15,5"
"13076";"Ludwigslust-Parchim";"Landkreis";"11,5"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"17,7"
"14521";"Erzgebirgskreis";"Landkreis";"12,9"
"14522";"Mittelsachsen";"Landkreis";"12,5"
"14523";"Vogtlandkreis";"Landkreis";"13,8"
"14524";"Zwickau";"Landkreis";"14,8"
"14612";"Dresden, Stadt";"krsfr. Stadt";"17,9"
"14625";"Bautzen";"Landkreis";"13,7"
"14626";"Görlitz";"Landkreis";"13,5"
"14627";"Meißen";"Landkreis";"14,3"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"12,8"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"17,5"
"14729";"Leipzig";"Landkreis";"13,3"
"14730";"Nordsachsen";"Landkreis";"13,3"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"19,9"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"20,9"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"19,1"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"10,5"
"15082";"Anhalt-Bitterfeld";"Landkreis";"13,3"
"15083";"Börde";"Landkreis";"11,4"
"15084";"Burgenlandkreis";"Landkreis";"13,1"
"15085";"Harz";"Landkreis";"12,6"
"15086";"Jerichower Land";"Landkreis";"10,9"
"15087";"Mansfeld-Südharz";"Landkreis";"12,6"
"15088";"Saalekreis";"Landkreis";"11,9"
"15089";"Salzlandkreis";"Landkreis";"13,6"
"15090";"Stendal";"Landkreis";"13,5"
"15091";"Wittenberg";"Landkreis";"12,2"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"19,8"
"16052";"Gera, Stadt";"krsfr. Stadt";"23,3"
"16053";"Jena, Stadt";"krsfr. Stadt";"20,5"
"16054";"Suhl, Stadt";"krsfr. Stadt";"25,3"
"16055";"Weimar, Stadt";"krsfr. Stadt";"20,6"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"23,2"
"16061";"Eichsfeld";"Landkreis";"13,5"
"16062";"Nordhausen";"Landkreis";"15,8"
"16063";"Wartburgkreis";"Landkreis";"11,2"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"14,5"
"16065";"Kyffhäuserkreis";"Landkreis";"12,8"
"16066";"Schmalkalden-Meiningen";"Landkreis";"14,5"
"16067";"Gotha";"Landkreis";"12,3"
"16068";"Sömmerda";"Landkreis";"9,3"
"16069";"Hildburghausen";"Landkreis";"11,9"
"16070";"Ilm-Kreis";"Landkreis";"11,2"
