Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten
"09190";"Weilheim-Schongau";"Landkreis";"3,21"
"09261";"Landshut, Stadt";"krsfr. Stadt";"18,06"
"09262";"Passau, Stadt";"krsfr. Stadt";"14,27"
"09263";"Straubing, Stadt";"krsfr. Stadt";"9,55"
"09271";"Deggendorf";"Landkreis";"11,08"
"09272";"Freyung-Grafenau";"Landkreis";"5,18"
"09273";"Kelheim";"Landkreis";"3,18"
"09274";"Landshut";"Landkreis";"1,19"
"09275";"Passau";"Landkreis";"3,59"
"09276";"Regen";"Landkreis";"4,07"
"09277";"Rottal-Inn";"Landkreis";"5,33"
"09278";"Straubing-Bogen";"Landkreis";"3,92"
"09279";"Dingolfing-Landau";"Landkreis";"1,32"
"09361";"Amberg, Stadt";"krsfr. Stadt";"13,22"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"18,78"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"16,57"
"09371";"Amberg-Sulzbach";"Landkreis";"1,97"
"09372";"Cham";"Landkreis";"5,45"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"3,81"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"1,97"
"09375";"Regensburg";"Landkreis";"1,26"
"09376";"Schwandorf";"Landkreis";"3,67"
"09377";"Tirschenreuth";"Landkreis";"3,98"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"13,37"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"18,61"
"09463";"Coburg, Stadt";"krsfr. Stadt";"12,42"
"09464";"Hof, Stadt";"krsfr. Stadt";"10,07"
"09471";"Bamberg";"Landkreis";"2,12"
"09472";"Bayreuth";"Landkreis";"1,13"
"09473";"Coburg";"Landkreis";"1,07"
"09474";"Forchheim";"Landkreis";"2,69"
"09475";"Hof";"Landkreis";"6,17"
"09476";"Kronach";"Landkreis";"4,17"
"09477";"Kulmbach";"Landkreis";"7,29"
"09478";"Lichtenfels";"Landkreis";"11,15"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"5,57"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"29,59"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"19,81"
"09563";"Fürth, Stadt";"krsfr. Stadt";"6,87"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"6,90"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"4,18"
"09571";"Ansbach";"Landkreis";"0,82"
"09572";"Erlangen-Höchstadt";"Landkreis";"0,85"
"09573";"Fürth";"Landkreis";
"09574";"Nürnberger Land";"Landkreis";"5,75"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"4,81"
"09576";"Roth";"Landkreis";"2,15"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"4,47"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"13,51"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"17,45"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"18,37"
"09671";"Aschaffenburg";"Landkreis";"0,24"
"09672";"Bad Kissingen";"Landkreis";"8,36"
"09673";"Rhön-Grabfeld";"Landkreis";"13,84"
"09674";"Haßberge";"Landkreis";"2,84"
"09675";"Kitzingen";"Landkreis";"2,73"
"09676";"Miltenberg";"Landkreis";"2,27"
